name,fold
holyhead-hol-gbr-bodc,test
honningsvag-801a-nor-uhslc,test
hornbaek-hor-dnk-cmems,test
huelva-hue-esp-cmems,test
ibiza-ibi-esp-cmems,test
immingham-imm-gbr-bodc,test
itzehoe-87-deu-wsv,test
juten_sjov-35101-swe-smhi,test
kabelvag-kab-nor-nhs,test
kalix_storon-2157-swe-smhi,test
kaskinen-kas-fin-cmems,test
keizersveer-keizvr-nld-rws,test
kemi_ajos-100539-fin-fmi,test
kielholtenau-kie-deu-cmems,test
killybegs_port-kil-irl-mi_c,test
kinlochbervie-kin-gbr-bodc,test
klagshamn-kla-swe-cmems,test
kobenhavn-kob-dnk-cmems,test
kolka-kol-lva-cmems,test
kollmar-88-deu-wsv,test
korsor-kor-dnk-cmems,test
koserow-kos-deu-cmems,test
krautsand-89-deu-wsv,test
krimpen_ad_lek-krimpadlk-nld-rws,test
kronstadt-kro-rus-cmems,test
kungsholmsfort-2088-swe-smhi,test
kungsvik-kun-swe-cmems,test
lagos_algarve-723a-prt-uhslc,test
lampedusa-lam-ita-ispra,test
landsort-2073-swe-smhi,test
landsort_norra-2507-swe-smhi,test
le_conquet-152-fra-refmar,test
le_crouesty-185-fra-refmar,test
lehavre_60minute-leh-fra-cmems,test
leith-lei-gbr-bodc,test
lerwick-293a-gbr-uhslc,test
lessablesdolonne_60minute-les-fra-cmems,test
leuchtturm_alte_wese-4094-deu-wsv,test
lichteiland_goeree-lichtelgre-nld-rws,test
livorno-liv-ita-ispra,test
luhort-91-deu-wsv,test
lymington-lym-gbr-cco,test
maassluis-maasss-nld-rws,test
malaga-mal-esp-cmems,test
maloy-may-nor-nhs,test
marseille-824a-fra-uhslc,test
marviken-2076-swe-smhi,test
melilla-mel-esp-cmems,test
milford_haven-mha-gbr-bodc,test
millport-mil-gbr-bodc,test
moerdijk-moerdk-nld-rws,test
motril-mot-esp-cmems,test
mumbles-mum-gbr-bodc,test
napoli-nap-ita-ispra,test
narvik-nvk-nor-nhs,test
newhaven-new-gbr-cmems,test
newlyn-new-gbr-bodc,test
nice-339-fra-refmar,test
noordwijk_meetpost-noordwmpt-nld-rws,test
nordrerose-nor-dnk-cmems,test
north_shields-nsh-gbr-bodc,test
olandsnorraudde-ola-swe-cmems,test
ortona-ort-ita-ispra,test
oscarsborg-osc-nor-nhs,test
oskarshamn-2085-swe-smhi,test
otranto-otr-ita-ispra,test
oulu-oul-fin-cmems,test
palermo-pal-ita-ispra,test
palinuro-pal-ita-ispra,test
palma-palm-esp-ieo,test
parnu-par-est-cmems,test
pietarsaari-pie-fin-cmems,test
pietarsaari_leppaluoto-134250-fin-fmi,test
plymouth-ply-gbr-cmems,test
pori-por-fin-cmems,test
pori_mantyluoto_kallo-134266-fin-fmi,test
port_bloc-15-fra-refmar,test
port_vendres-75-fra-refmar,test
portellen-por-gbr-cmems,test
porterin-por-gbr-cmems,test
porto_empedocle-por-ita-ispra,test
porto_torres-por-ita-ispra,test
portpatrick-por-gbr-cmems,test
portrush-pru-gbr-bodc,test
raahe-raa-fin-cmems,test
rak_noord-raknd-nld-rws,test
ratan-2056-swe-smhi,test
rauma-rau-fin-cmems,test
ravenna-rav-ita-ispra,test
reggio_calabria-reg-ita-ispra,test
ringhals-2105-swe-smhi,test
robbensudsteert-4110-deu-wsv,test
rodvig-rod-dnk-cmems,test
ronne-ron-dnk-cmems,test
roompot_binnen-roompbnn-nld-rws,test
rorvik-rvk-nor-nhs,test
roscoff_60minute-ros-fra-cmems,test
sagunto-sag-esp-cmems,test
sainildas_60minute-sai-fra-cmems,test
saint_malo-410-fra-refmar,test
saint_nazaire-37-fra-refmar,test
salerno-sal-ita-ispra,test
sandown_pier-sdp-gbr-cco,test
santander-san-esp-cmems,test
sassnitz-sas-deu-cmems,test
schulau-96-deu-wsv,test
sheerness-she-gbr-bodc,test
simrishamn-sim-swe-cmems,test
sjaellandsodde-sja-dnk-cmems,test
skagen-ska-dnk-cmems,test
skagsudde-2321-swe-smhi,test
slipshavn-sli-dnk-cmems,test
smogen-smo-swe-cmems,test
socoa_60minute-soc-fra-cmems,test
spikarna-2061-swe-smhi,test
spodsbjerg-spo-dnk-cmems,test
stadersand-98-deu-wsv,test
stavanger-svg-nor-nhs,test
stavenisse-stavnse-nld-rws,test
stenungsund-2110-swe-smhi,test
sthelier-sth-gbr-cmems,test
stockholm-sto-swe-cmems,test
stor_sperrwerk_bp-99-deu-wsv,test
stornoway-295a-gbr-uhslc,test
stpetersburg-stp-rus-cmems,test
tallinn-tal-est-cmems,test
taranto-tar-ita-ispra,test
tarifa-tari-esp-ieo,test
tejn-tej-dnk-cmems,test
terschelling_noordzee-terslnze-nld-rws,test
texel_noordzee-texnze-nld-rws,test
tobermory-tob-gbr-cmems,test
toulon_60minute-tou-fra-cmems,test
tregde-804a-nor-uhslc,test
tromso-tos-nor-nhs,test
trondheim-trd-nor-nhs,test
turku-tur-fin-cmems,test
turku_ruissalo_saaronniemi-134225-fin-fmi,test
ullapool-ull-gbr-bodc,test
vaasa-vaa-fin-cmems,test
valencia-val-esp-cmems,test
vardo-805a-nor-uhslc,test
vardo-vaw-nor-nhs,test
venezia-vene-ita-cv,test
vieste-vie-ita-ispra,test
viken-vik-swe-cmems,test
viker-vik-nor-nhs,test
villagarcia-vil-esp-cmems,test
visby-vis-swe-cmems,test
vlaardingen-vlaardgn-nld-rws,test
warnemunde-war-deu-bfg,test
westkapelle-westkple-nld-rws,test
weymouth-wey-gbr-cmems,test
whitby-whi-gbr-bodc,test
wick-wic-gbr-bodc,test
wladyslawowo-wla-pol-eseas,test
workington-wor-gbr-cmems,test
